,317,107.5,318.5,316.33,304.28,303.35,124.67,281.58,250.74,102.73,81.7,0,64.54,11.5,291.5,90.23,298.5,183.11
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.5,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.25,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162.48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
162.78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
166.11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
172.38,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
178.02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
181.33,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
186.23,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
186.25,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
188.81,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
189.5,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
194.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
195.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
198.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
207.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
