species_superorder,isGaleomorphi,marine_province,date,year
Galeomorphii,1,Coastal Californian current,2011-2015,1996
Galeomorphii,1,Western India coast,2010-2011,1994
Galeomorphii,1,Western India coast,2010-2011,1994
Galeomorphii,1,Western India coast,2010-2011,1994
Galeomorphii,1,Western India coast,2010-2011,1994
Galeomorphii,1,Western India coast,2010-2011,1994
Galeomorphii,1,Western India coast,2010-2011,1994
Galeomorphii,1,Western India coast,2010-2011,1994
Galeomorphii,1,Western India coast,2010-2011,1994
Galeomorphii,1,Western India coast,2010-2011,1970
Galeomorphii,1,Western India coast,2010-2011,1970
Galeomorphii,1,Western India coast,2010-2011,1970
Galeomorphii,1,Western India coast,2010-2011,1970
Galeomorphii,1,Western India coast,2010-2011,1970
Galeomorphii,1,Western India coast,2010-2011,1970
Galeomorphii,1,Western India coast,2010-2011,1970
Galeomorphii,1,Central American coast,2000-2007,1970
Galeomorphii,1,Central American coast,2000-2007,1970
Galeomorphii,1,Central American coast,2000-2007,1970
Galeomorphii,1,Central American coast,2000-2007,1970
Galeomorphii,1,Central American coast,2000-2007,1970
Galeomorphii,1,Central American coast,2000-2007,1970
Galeomorphii,1,Central American coast,2000-2007,1970
Galeomorphii,1,Central American coast,2000-2007,1970
Galeomorphii,1,Central American coast,2000-2007,1970
Galeomorphii,1,Brazilian current coast,2003-2004,1970
Galeomorphii,1,Brazilian current coast,2003-2004,1970
Galeomorphii,1,Brazilian current coast,2003-2004,1970
Galeomorphii,1,Brazilian current coast,2003-2004,1970
Galeomorphii,1,Brazilian current coast,2003-2004,1970
Galeomorphii,1,Brazilian current coast,2003-2004,1970
Galeomorphii,1,Brazilian current coast,2003-2004,1970
Galeomorphii,1,Brazilian current coast,2003-2004,1970
Galeomorphii,1,Brazilian current coast,2003-2004,1970
Galeomorphii,1,Brazilian current coast,2003-2004,1970
Galeomorphii,1,Brazilian current coast,2003-2004,1970
Galeomorphii,1,Brazilian current coast,2003-2004,1970
Galeomorphii,1,Brazilian current coast,2003-2004,1970
Galeomorphii,1,Brazilian current coast,2003-2004,1970
Galeomorphii,1,Brazilian current coast,2003-2004,1970
Galeomorphii,1,Brazilian current coast,2003-2004,1970
