,147.5,-62,149,146.83,134.78,133.85,-44.83,112.08,81.24,-66.77,-87.8,-169.5,-104.96,-158,122,-79.27,129,13.61
8,-41.5,,,,,,,,,,,,,,,,,
10,,-40.5,,,,,,,,,,,,,,,,
116,,,-20,,,,,,,,,,,,,,,
31,,,,-19.25,,,,,,,,,,,,,,
1,,,,,-7.02,,,,,,,,,,,,,
1,,,,,,-6.72,,,,,,,,,,,,
2,,,,,,,-3.39,,,,,,,,,,,
7,,,,,,,,2.88,,,,,,,,,,
1,,,,,,,,,8.52,,,,,,,,,
15,,,,,,,,,,11.83,,,,,,,,
6,,,,,,,,,,,16.73,,,,,,,
4,,,,,,,,,,,,16.75,,,,,,
2,,,,,,,,,,,,,19.31,,,,,
23,,,,,,,,,,,,,,20,,,,
31,,,,,,,,,,,,,,,25,,,
1,,,,,,,,,,,,,,,,25.73,,
19,,,,,,,,,,,,,,,,,29,
1,,,,,,,,,,,,,,,,,,38.03
